编号,开仓时间,平仓时间,交易所,币种,方向,杠杆,开仓价,平仓价,数量,止损价,止盈价,手续费,情绪,入场理由,复盘笔记,净盈亏,R倍数
T0001,2026-09-01 21:10,2026-09-01 23:40,币安,BTCUSDT,多,10,62000,63100,0.02,61400,63400,3.1,平静,4h回踩MA20不破，缩量,按计划走完,,
T0002,2026-09-02 15:30,2026-09-02 16:05,币安,ETHUSDT,多,20,2500,2470,0.5,2465,2560,3.7,FOMO追单,看群里说以太要拉，追进去,追高被套,,
T0003,2026-09-02 16:20,2026-09-02 18:00,币安,ETHUSDT,多,20,2472,2440,0.9,2448,2560,6.4,报复性交易,刚亏了想扳回来,越亏越多,,
T0004,2026-09-03 10:15,2026-09-03 14:30,币安,SOLUSDT,空,10,145.0,139.5,3,148.5,136,5.4,平静,跌破前低，放量,止盈提前跑了,,
T0005,2026-09-04 22:40,2026-09-05 01:10,币安,DOGEUSDT,多,25,0.118,0.114,5000,0.1155,0.125,8.2,FOMO追单,马斯克发了推文,又是追消息,,
T0006,2026-09-05 09:20,2026-09-05 12:00,币安,BTCUSDT,多,10,61000,61800,0.025,60400,62500,3.6,平静,区间下沿企稳,正常,,
T0007,2026-09-08 20:00,2026-09-08 23:30,币安,DOGEUSDT,多,25,0.121,0.1175,6000,0.1178,0.13,9.5,亏损后补仓,补一单摊低成本,摊平是大坑,,
T0008,2026-09-09 11:00,2026-09-09 19:00,币安,BTCUSDT,多,10,60500,59900,0.03,59800,62000,4.3,平静,回调到支撑,,,
T0009,2026-09-11 03:10,2026-09-11 05:40,币安,ETHUSDT,空,20,2380,2412,0.8,2400,2300,5.2,无聊,睡不着随便开一单,半夜瞎做,,
T0010,2026-09-12 14:00,2026-09-12 18:20,币安,SOLUSDT,多,10,138.0,146.5,2.5,134.5,150,5.6,平静,突破前高回踩确认,拿住了,,
T0011,2026-09-13 21:30,2026-09-14 02:00,币安,BTCUSDT,多,10,63200,61800,0.035,,66000,9.1,自信,觉得要破新高，先开了再说,没设止损，扛单到心态崩,,
T0012,2026-09-14 02:15,2026-09-14 06:30,币安,BTCUSDT,多,15,61850,60100,0.07,61200,64500,9.6,报复性交易,刚被扫了，直接加仓干回来,当晚亏最多的一笔,,
T0013,2026-09-15 10:00,2026-09-15 15:00,币安,ETHUSDT,多,10,2450,2520,1.2,2410,2560,5.9,平静,三角整理上破,计划内,,
T0014,2026-09-16 16:40,2026-09-16 18:10,币安,DOGEUSDT,空,20,0.124,0.1268,4000,0.1262,0.118,7.4,FOMO追单,看跌了就追空,又追,,
T0015,2026-09-17 09:30,2026-09-17 13:40,币安,SOLUSDT,空,10,150.0,144.2,2.8,153.0,140,6.1,平静,假突破回落,,,
T0016,2026-09-18 22:50,2026-09-19 00:30,币安,BTCUSDT,空,20,64100,64800,0.03,64500,62800,5.1,着急,怕错过，赶紧进,追空被扎,,
T0017,2026-09-19 11:20,2026-09-19 17:00,币安,ETHUSDT,多,10,2560,2605,1.5,2520,2650,6.2,平静,回踩均线支撑做多,正常,,
T0018,2026-09-20 20:10,2026-09-20 21:40,币安,DOGEUSDT,多,25,0.1295,0.1272,7000,0.127,0.136,11.6,亏损后补仓,今天想做回来,当天第四单，越做越亏,,
